player_display_name,predicted_points,vorp,position,pos_rank,overall_rank
Cooper Rush,41.55298,-164.7324,QB,64,591
Jimmy Garoppolo,41.5247,-164.76068,QB,65,592
Trey Lance,41.22123,-165.06415,QB,66,593
Tyrod Taylor,40.42335,-165.86203,QB,67,594
Max Brosmer,39.388966,-166.89642,QB,68,595
Shane Buechele,36.998882,-169.2865,QB,69,596
Brett Rypien,36.89198,-169.3934,QB,70,597
Tyler Huntley,36.624943,-169.66045,QB,71,598
Andy Dalton,34.48926,-171.79613,QB,72,599
Teddy Bridgewater,33.110146,-173.17523,QB,73,600
Nick Mullens,30.837753,-175.44763,QB,74,601
Chris Oladokun,30.486715,-175.79868,QB,75,602
Joshua Dobbs,30.355042,-175.93034,QB,76,603
Josh Johnson,29.488579,-176.79681,QB,77,604
Gardner Minshew,25.71243,-180.57295,QB,78,605
Clayton Tune,21.257267,-185.02812,QB,79,606
Kyle Allen,19.25578,-187.0296,QB,80,607
Brandon Allen,14.439729,-191.84566,QB,81,608
