player_display_name,predicted_points
Zay Jones,44.93959
Malik Willis,44.485283
Malik Heath,43.95844
Parris Campbell,43.917084
Tyrell Shavers,43.40297
Jalin Hyatt,43.022
Chris Rodriguez Jr.,42.94196
DJ Turner,42.762043
Trayveon Williams,42.72032
Julius Chestnut,42.66468
Isiah Pacheco,42.522156
Tyler Huntley,42.29325
Travis Homer,42.260265
Luke Musgrave,42.214046
Jake Browning,42.11722
Daniel Bellinger,41.940147
Jake Bobo,41.603893
Elijah Higgins,41.55565
Brady Russell,41.259342
Spencer Rattler,41.19886
Avery Williams,41.19437
Jakob Johnson,40.97081
Cooper Rush,40.911434
Ben Sinnott,40.871212
Sione Vaki,40.757133
Joe Milton III,40.750557
Kylen Granson,40.184788
Khalil Herbert,39.92796
Cade Stover,39.880737
Ty Chandler,39.804905
Bryce Oliver,39.71341
Ryan Flournoy,39.423527
KhaDarel Hodge,39.359947
Hunter Luepke,39.244534
Robbie Chosen,39.08304
Tyler Badie,38.3878
Jimmy Garoppolo,38.379005
Adam Trautman,38.28646
Jacoby Brissett,37.621273
Joshua Dobbs,37.237022
Johnny Mundt,37.087593
Mitchell Trubisky,36.761555
Kimani Vidal,36.225662
Drew Sample,35.863197
Stone Smartt,35.829227
Jamari Thrash,35.390587
Austin Trammell,35.281334
Ben Skowronek,34.600758
Devin Duvernay,34.309258
Reggie Gilliam,34.149452
River Cracraft,33.7474
Marquise Brown,33.18955
Jordan Mims,33.052696
Gary Brightwell,32.872795
Ronnie Bell,32.8482
Velus Jones Jr.,32.8178
Andy Dalton,32.18154
Harrison Bryant,32.14765
Keaton Mitchell,32.03249
Tip Reiman,31.951115
Brycen Tremayne,31.861774
Tanner McKee,31.840826
Isaiah Hodgins,31.76764
Greg Dulcich,31.469973
Eric Gray,31.454102
Deven Thompkins,30.757803
Hunter Long,30.626535
Kyle Allen,30.415842
Britain Covey,30.038654
Charlie Jones,29.503277
Mo Alie-Cox,29.474297
Lucas Krull,29.165415
Carson Wentz,29.13714
Trent Sherfield,28.92545
Isaiah Williams,28.710283
Xavier Gipson,28.253967
Nate Adkins,27.985695
Rasheen Ali,27.872683
Davis Mills,27.851591
Mason Kinsey,27.745205
Nick Mullens,27.74386
Myles Gaskin,27.229015
Tyson Bagent,27.149004
James Proche,27.081177
Braxton Berrios,27.01056
John Bates,26.802742
Dareke Young,26.234493
Durham Smythe,26.184303
Tom Kennedy,25.707718
Chris Blair,25.202604
Chris Oladokun,25.082634
Luke Farrell,24.880274
Brock Wright,24.823605
Cody White,24.47427
George Holani,23.83776
Marcedes Lewis,23.732119
Davis Allen,23.66983
Justin Shorter,23.662045
Steven Sims,23.622053
Tyrod Taylor,23.307959
Will Mallory,22.899616
Alex Bachman,22.898487
Tay Martin,22.72218
Jared Wiley,22.544767
Xavier Weaver,22.041084
Kaden Davis,21.963417
Payne Durham,21.9267
Chris Manhertz,21.382828
Josiah Deguara,21.282915
Brevyn Spann-Ford,21.192394
Devin Culp,21.171728
Dylan Laube,20.54542
Andrew Ogletree,20.067127
Jarrett Stidham,19.988234
Tyler Higbee,18.39914
Nikko Remigio,18.374836
Terrell Jennings,17.570635
Ian Thomas,17.008823
British Brooks,16.863441
Charlie Woerner,16.55155
Quintin Morris,15.371238
Tim Jones,15.2598915
Mecole Hardman,15.150873
Pharaoh Brown,14.872288
Julian Hill,14.230254
Kameron Johnson,14.032019
Eric Saubert,14.029983
Colson Yankoff,12.508598
Brayden Willis,12.308405
Anthony Gould,11.19199
Ross Dwelley,10.230458
Blake Whiteheart,10.024982
Feleipe Franks,9.833517
Shane Zylstra,9.762854
John FitzPatrick,9.601312
E.J. Jenkins,9.537811
Ben Sims,9.310547
DeAndre Carter,8.994728
Cam Grandy,8.953948
Josh Johnson,8.874972
Tanner Conner,8.57176
Tucker Fisk,8.045274
Jack Stoll,7.379263
Anthony Firkser,7.3120127
Brandon Allen,6.8939924
Jake Tonges,6.6881185
David Martin-Robinson,5.8473687
Brenden Bates,5.6735444
Princeton Fant,5.481683
Ko Kieft,4.6087146
Xavier Smith,1.4047254
